DBH,Height,log DBH,log Height
2.5,2.8,0.397940009,0.447158031
3.4,3.2,0.531478917,0.505149978
3.1,3.5,0.491361694,0.544068044
3.2,3.8,0.505149978,0.579783597
3.2,4.5,0.505149978,0.653212514
3.2,4.5,0.505149978,0.653212514
2.5,3.3,0.397940009,0.51851394
2.6,3.3,0.414973348,0.51851394
2.7,3.5,0.431363764,0.544068044
3,4,0.477121255,0.602059991
3.1,4.2,0.491361694,0.62324929
3.2,4.3,0.505149978,0.633468456
2.5,3,0.397940009,0.477121255
2.5,3.5,0.397940009,0.544068044
2.3,3.7,0.361727836,0.568201724
3.5,2.2,0.544068044,0.342422681
3.6,2.6,0.556302501,0.414973348
3.9,3,0.591064607,0.477121255
4.1,3.5,0.612783857,0.544068044
4.6,4.2,0.662757832,0.62324929
5.5,4.3,0.740362689,0.633468456
2.3,2.9,0.361727836,0.462397998
2.3,3,0.361727836,0.477121255
6.2,4.7,0.792391689,0.672097858
7,5.7,0.84509804,0.755874856
8.6,6.5,0.934498451,0.812913357
7.1,7,0.851258349,0.84509804
7.8,7,0.892094603,0.84509804
7.8,7.3,0.892094603,0.86332286
3.9,2.7,0.591064607,0.431363764
4.2,3,0.62324929,0.477121255
5.2,3.2,0.716003344,0.505149978
6.1,3.5,0.785329835,0.544068044
7.9,4.5,0.897627091,0.653212514
8.4,4.6,0.924279286,0.662757832
2,2.3,0.301029996,0.361727836
2.2,2.5,0.342422681,0.397940009
2.5,2.7,0.397940009,0.431363764
2.8,3,0.447158031,0.477121255
3.4,5,0.531478917,0.698970004
3.6,5.2,0.556302501,0.716003344
2.4,2.1,0.380211242,0.322219295
3.7,2.3,0.568201724,0.361727836
4.2,2.7,0.62324929,0.431363764
4.8,3,0.681241237,0.477121255
6.4,4.5,0.806179974,0.653212514
6.9,4.6,0.838849091,0.662757832
4,2,0.602059991,0.301029996
4.1,2.5,0.612783857,0.397940009
3.9,2.7,0.591064607,0.431363764
3.9,2.8,0.591064607,0.447158031
4.3,3,0.633468456,0.477121255
4.3,3.1,0.633468456,0.491361694
3.2,2.5,0.505149978,0.397940009
3.5,2.5,0.544068044,0.397940009
3.7,2.7,0.568201724,0.431363764
4.1,2.8,0.612783857,0.447158031
4.6,3.9,0.662757832,0.591064607
5.5,5.2,0.740362689,0.716003344
6.3,5.7,0.799340549,0.755874856
6.3,5.75,0.799340549,0.759667845
6.7,6,0.826074803,0.77815125
7,6.2,0.84509804,0.792391689
4.4,3.9,0.643452676,0.591064607
6.2,5.2,0.792391689,0.716003344
6.1,5.4,0.785329835,0.73239376
9.7,5.5,0.986771734,0.740362689
11.3,6.5,1.053078443,0.812913357
11.3,6.6,1.053078443,0.819543936
2.2,2.5,0.342422681,0.397940009
2.6,2.5,0.414973348,0.397940009
2.7,2.7,0.431363764,0.431363764
3,3,0.477121255,0.477121255
3.7,3,0.568201724,0.477121255
3.7,3.2,0.568201724,0.505149978
3.2,3.75,0.505149978,0.574031268
4.3,3.8,0.633468456,0.579783597
5.1,4.5,0.707570176,0.653212514
5.9,5,0.770852012,0.698970004
7.3,5.5,0.86332286,0.740362689
8,5.7,0.903089987,0.755874856
2.7,3.2,0.431363764,0.505149978
3.2,3.25,0.505149978,0.511883361
3.9,3.6,0.591064607,0.556302501
4.2,4,0.62324929,0.602059991
4.9,4.5,0.69019608,0.653212514
5.4,4.6,0.73239376,0.662757832
2.7,3.2,0.431363764,0.505149978
3.1,3.3,0.491361694,0.51851394
3.6,3.6,0.556302501,0.556302501
3.9,4,0.591064607,0.602059991
4.5,4,0.653212514,0.602059991
4.7,4.2,0.672097858,0.62324929
2.6,2.9,0.414973348,0.462397998
3.6,3,0.556302501,0.477121255
5.1,3.5,0.707570176,0.544068044
5.1,3.6,0.707570176,0.556302501
5.6,4.7,0.748188027,0.672097858
5.7,4.9,0.755874856,0.69019608
4.6,3.9,0.662757832,0.591064607
5.3,3.95,0.72427587,0.596597096
5.4,4.3,0.73239376,0.633468456
2.8,3,0.447158031,0.477121255
3.2,3,0.505149978,0.477121255
3.2,3.3,0.505149978,0.51851394
3.6,3.4,0.556302501,0.531478917
3.7,4.2,0.568201724,0.62324929
3.9,4.3,0.591064607,0.633468456
2,1.6,0.301029996,0.204119983
3.2,2.5,0.505149978,0.397940009
3.3,3.1,0.51851394,0.491361694
5,3.5,0.698970004,0.544068044
7,6,0.84509804,0.77815125
7.8,6.3,0.892094603,0.799340549
2.6,2.7,0.414973348,0.431363764
5.7,4,0.755874856,0.602059991
6.3,4.5,0.799340549,0.653212514
2.7,3.2,0.431363764,0.505149978
3.1,2.15,0.491361694,0.33243846
3.4,2.8,0.531478917,0.447158031
3.4,3,0.531478917,0.477121255
3.5,3,0.544068044,0.477121255
3.4,3.1,0.531478917,0.491361694
2.5,3.1,0.397940009,0.491361694
2.7,3.5,0.431363764,0.544068044
2.8,3.7,0.447158031,0.568201724
3,3.8,0.477121255,0.579783597
3,3.9,0.477121255,0.591064607
3.6,4.1,0.556302501,0.612783857
2.2,2.2,0.342422681,0.342422681
2.5,3,0.397940009,0.477121255
2.6,3.3,0.414973348,0.51851394
2.6,3.4,0.414973348,0.531478917
2.6,1.8,0.414973348,0.255272505
2.6,2,0.414973348,0.301029996
2.9,2.9,0.462397998,0.462397998
3.2,3.2,0.505149978,0.505149978
3.5,3,0.544068044,0.477121255
3.5,3.3,0.544068044,0.51851394
3.8,3.5,0.579783597,0.544068044
4.9,4.5,0.69019608,0.653212514
6.4,4.7,0.806179974,0.672097858
3.1,3.4,0.491361694,0.531478917
3.4,3.7,0.531478917,0.568201724
4.1,4.2,0.612783857,0.62324929
4.2,4.5,0.62324929,0.653212514
4.6,5,0.662757832,0.698970004
4.8,5.3,0.681241237,0.72427587
3.7,3.1,0.568201724,0.491361694
3.7,0.9,0.568201724,-0.045757491
3.8,2.5,0.579783597,0.397940009
4,2.6,0.602059991,0.414973348
4,2.5,0.602059991,0.397940009
4.6,2.7,0.662757832,0.431363764
3,3.1,0.477121255,0.491361694
3.2,3.1,0.505149978,0.491361694
3.3,3.5,0.51851394,0.544068044
3.7,3.5,0.568201724,0.544068044
3.8,3.5,0.579783597,0.544068044
4.1,3.6,0.612783857,0.556302501
3.2,3.1,0.505149978,0.491361694
3.3,3.1,0.51851394,0.491361694
3.7,3.5,0.568201724,0.544068044
3.8,3.6,0.579783597,0.556302501
4,4,0.602059991,0.602059991
4.1,4.2,0.612783857,0.62324929
2.5,3,0.397940009,0.477121255
2.9,3,0.462397998,0.477121255
2.4,3.4,0.380211242,0.531478917
2.6,3.5,0.414973348,0.544068044
2.2,3,0.342422681,0.477121255
2.3,3,0.361727836,0.477121255
2.3,3.4,0.361727836,0.531478917
2.5,3.4,0.397940009,0.531478917
2.7,3.7,0.431363764,0.568201724
2.8,3.9,0.447158031,0.591064607
3,3.1,0.477121255,0.491361694
3.2,3.1,0.505149978,0.491361694
2.9,3.5,0.462397998,0.544068044
3,3.55,0.477121255,0.550228353
3.3,4,0.51851394,0.602059991
3.5,4.1,0.544068044,0.612783857
2.8,3,0.447158031,0.477121255
2.8,3,0.447158031,0.477121255
2.5,3.5,0.397940009,0.544068044
2.5,3.6,0.397940009,0.556302501
3.2,4,0.505149978,0.602059991
3.2,4.1,0.505149978,0.612783857
2.4,3,0.380211242,0.477121255
2.8,3.25,0.447158031,0.511883361
2.9,3.4,0.462397998,0.531478917
2.9,3.45,0.462397998,0.537819095
3.3,3.3,0.51851394,0.51851394
3.5,3.4,0.544068044,0.531478917
3.7,3.6,0.568201724,0.556302501
3.4,3.3,0.531478917,0.51851394
3.5,3.3,0.544068044,0.51851394
3.5,3.5,0.544068044,0.544068044
4.1,3.2,0.612783857,0.505149978
6.2,5,0.792391689,0.698970004
9.2,7,0.963787827,0.84509804
11,8.5,1.041392685,0.929418926
12.9,9,1.11058971,0.954242509
13,9.5,1.113943352,0.977723605
3.5,3.7,0.544068044,0.568201724
5.3,4.2,0.72427587,0.62324929
6,4.5,0.77815125,0.653212514
8.2,6,0.913813852,0.77815125
9.3,6.5,0.968482949,0.812913357
3.1,3.2,0.491361694,0.505149978
5,4,0.698970004,0.602059991
5.9,4.6,0.770852012,0.662757832
7.1,5.5,0.851258349,0.740362689
7.2,5.6,0.857332496,0.748188027
2,2.3,0.301029996,0.361727836
2.8,3,0.447158031,0.477121255
3.9,4,0.591064607,0.602059991
7.3,5.7,0.86332286,0.755874856
8.7,5.7,0.939519253,0.755874856
2.6,2.6,0.414973348,0.414973348
3.2,3,0.505149978,0.477121255
3.6,3.5,0.556302501,0.544068044
4.3,4,0.633468456,0.602059991
4.3,4,0.633468456,0.602059991
2.1,2,0.322219295,0.301029996
2.4,2.1,0.380211242,0.322219295
3,2.5,0.477121255,0.397940009
3.9,4.7,0.591064607,0.672097858
3.9,4.7,0.591064607,0.672097858
3,2.65,0.477121255,0.423245874
4,2.9,0.602059991,0.462397998
3.9,3.5,0.591064607,0.544068044
4.3,3.6,0.633468456,0.556302501
2.5,2,0.397940009,0.301029996
3.1,2.3,0.491361694,0.361727836
3.5,2.5,0.544068044,0.397940009
2.3,2.35,0.361727836,0.371067862
2.5,2.7,0.397940009,0.431363764
3,2.8,0.477121255,0.447158031
4.2,3,0.62324929,0.477121255
4.3,3.1,0.633468456,0.491361694
2.4,3,0.380211242,0.477121255
3.2,3.5,0.505149978,0.544068044
4.1,4.1,0.612783857,0.612783857
